Month,Place,Outdoor.Temperatures
Feb,1.Concord,45.9
Feb,1.Concord,44.8
Feb,1.Concord,43.2
Feb,1.Concord,43.9
Feb,1.Concord,41.9
Feb,1.Concord,41
Feb,1.Concord,41
Feb,1.Concord,41.2
Feb,1.Concord,42.4
Feb,1.Concord,45.5
Feb,1.Concord,49.5
Feb,1.Concord,53.1
Feb,1.Concord,53.4
Feb,1.Concord,55.9
Feb,1.Concord,56.1
Feb,1.Concord,57.7
Feb,1.Concord,57.4
Feb,1.Concord,57
Feb,1.Concord,57
Feb,1.Concord,56.8
Feb,1.Concord,54.9
Feb,1.Concord,52.9
Feb,1.Concord,50.9
Feb,1.Concord,48.7
Feb,1.Concord,48.2
Feb,1.Concord,49.6
Feb,1.Concord,46.9
Feb,1.Concord,47.3
Feb,1.Concord,50.2
Feb,1.Concord,50.9
Feb,1.Concord,50.2
Feb,1.Concord,51.4
Feb,1.Concord,53.8
Feb,1.Concord,52.7
Feb,1.Concord,51.4
Feb,1.Concord,51.1
